"thu","ngay","dot","ky","n1","n2","n3","n4","n5","n6","dd_cnt","dd_amt","g1_cnt","g1_amt","g2_cnt","g2_amt","g3_cnt","g3_amt","g4_cnt","g4_amt","g5_cnt","g5_amt","kk_cnt","kk_amt","dec0","dec1","dec2","dec3","dbx","dbdd","dd","sc","cam","snt","snt_cnt","xx","ke","t1","g0","p1","mod","sum","dec","dec_ck","cl5","cl5_ck","jpp","qh_ky","qh_hit","qhl","qhc","jpck","jpm_info","jpm_cnt","is_jp","is_chia","is_day","updated_at"
T6,2026-02-20,"2","00474",1,9,18,28,33,7,0,6854822500,0,10000000,6,5000000,112,500000,216,100000,2265,30000,16302,10000,2,1,1,1,Y,L,LL,2,,,0,"33",0,1,0,1,"82",89,"2111",8,LLCCL,6,9,20,,"24",1,6,"352 (00122: 1-4-17-18-28)",3,false,false,false,2026-05-11 13:11:22.509 +0700
T7,2026-01-31,"1","00433",7,14,15,26,27,9,0,6303522500,1,10000000,6,5000000,64,500000,176,100000,1507,30000,11426,10000,1,2,2,0,Z,L,LL,2,"3","7",1,,2,0,0,1,"72",89,"1220",17,LCLCL,12,15,20,,,0,33,"50 (00383: 7-25-26-27-31)",3,false,false,false,2026-05-11 13:11:22.573 +0700
T6,2026-01-30,"2","00432",5,6,9,23,32,12,0,6271605000,0,10000000,7,5000000,61,500000,150,100000,2172,30000,10953,10000,3,0,1,1,Z,C,LC,2,"1","5-23",2,,1,1,0,0,,75,"3011",161,LCLLC,2,8,20,,,0,32,"31 (00401: 6-9-23-24-25)",3,false,false,false,2026-05-11 13:11:22.574 +0700
T6,2026-01-30,"1","00431",11,19,27,29,33,5,0,6134012500,1,10000000,6,5000000,66,500000,238,100000,2342,30000,16028,10000,0,2,2,1,Y,L,LL,0,"0","11-19-29",3,"11,33",0,0,1,0,"92",119,"0221",12,LLLLL,9,17,20,,,0,31,"285 (00146: 11-15-19-27-33)",4,false,false,false,2026-05-11 13:11:22.576 +0700
T5,2026-01-29,"2","00430",1,8,9,19,22,12,-1,20823951500,2,3507183250,69,55295000,737,5205000,2083,1765000,22823,180000,135664,10000,3,1,1,0,Z,C,LC,2,"3","19",1,"22",1,0,0,0,"92",59,"3110",5,LCLLC,7,11,20,,,0,30,"233 (00197: 8-9-22-32-33)",3,false,true,false,2026-05-11 13:11:22.577 +0700
T5,2026-01-29,"1","00429",4,11,17,26,31,11,0,13849507500,2,10000000,11,5000000,124,500000,319,100000,3740,30000,21970,10000,1,2,1,1,Z,L,CL,2,,"11-17-31",3,"11",0,0,0,3,"12",89,"1211",1,CLLCL,28,14,20,,,0,29,"3 (00426: 4-11-25-31-34)",3,false,false,false,2026-05-11 13:11:22.578 +0700
T4,2026-01-28,"2","00428",6,10,16,21,30,2,0,12754174500,2,10000000,10,5000000,138,500000,246,100000,3784,30000,19005,10000,1,2,1,1,X,C,CC,4,,,0,,0,0,1,1,"02,62",83,"1211",21,CCCLC,15,24,20,"6","6",1,28,"61 (00367: 4-6-13-16-30)",3,false,false,false,2026-05-11 13:11:22.580 +0700
T4,2026-01-28,"1","00427",2,20,21,24,32,1,0,11743538500,0,10000000,4,5000000,86,500000,102,100000,2263,30000,9127,10000,1,0,3,1,X,L,CC,4,"1","2",1,,1,1,0,1,"22",99,"1031",7,CCLCC,32,16,20,,"6",1,27,"64 (00363: 1-2-20-24-33)",3,false,false,false,2026-05-11 13:11:22.583 +0700
T3,2026-01-27,"2","00426",4,11,25,31,34,1,0,11043846500,0,10000000,5,5000000,101,500000,186,100000,2779,30000,13217,10000,1,1,1,2,X,L,CC,2,,"11-31",2,"11",0,1,0,0,"12,42",105,"1112",75,CLLLC,9,12,20,,"6",1,26,"312 (00114: 4-12-25-29-34)",3,false,false,false,2026-05-11 13:11:22.585 +0700
T3,2026-01-27,"1","00425",5,8,9,14,28,2,0,10145565500,0,10000000,4,5000000,75,500000,153,100000,1949,30000,9951,10000,3,1,1,0,X,C,LC,3,"3","5",1,,1,2,1,0,"82",64,"3110",25,LCLCC,86,13,20,,"6",1,25,"111 (00314: 9-12-14-28-35)",3,false,false,false,2026-05-11 13:11:22.587 +0700
T2,2026-01-26,"2","00424",9,23,29,34,35,12,0,9591930000,1,10000000,9,5000000,77,500000,198,100000,2558,30000,15916,10000,1,0,2,2,Z,C,LL,1,"1","23-29",2,,1,0,1,0,"92",130,"1022",35,LLLCL,53,16,20,,,0,24,"68 (00356: 22-23-26-34-35)",3,false,false,false,2026-05-11 13:11:22.590 +0700
T2,2026-01-26,"1","00423",3,18,25,29,32,8,0,8717820000,0,10000000,3,5000000,50,500000,199,100000,1605,30000,16940,10000,1,1,2,1,Y,C,LC,2,,"3-29",2,,0,1,0,1,,107,"1121",8,LCLLC,65,16,20,,,0,23,"18 (00405: 13-18-24-29-32)",3,false,false,false,2026-05-11 13:11:22.593 +0700
CN,2026-01-25,"2","00422",1,11,15,19,31,4,0,8344237500,1,10000000,2,5000000,59,500000,142,100000,1856,30000,13315,10000,1,3,0,1,X,C,LL,0,"2","11-19-31",3,"11",0,1,1,1,"13",77,"1301",139,LLLLL,99,32,20,"11","11",1,22,"11 (00411: 1-15-19-21-26)",3,false,false,false,2026-05-11 13:11:22.594 +0700
CN,2026-01-25,"1","00421",15,18,27,32,35,11,0,8158535000,0,10000000,4,5000000,48,500000,149,100000,1472,30000,12895,10000,0,2,1,2,Z,L,LL,2,"0",,0,,0,1,0,2,"52",127,"0212",4,LCLCL,7,11,20,,"11",1,21,"115 (00306: 18-29-30-32-35)",3,false,false,false,2026-05-11 13:11:22.595 +0700
T3,2026-01-06,"1","00383",7,25,26,27,31,5,0,8191917500,0,10000000,4,5000000,53,500000,150,100000,1619,30000,10114,10000,1,0,3,1,Y,L,LL,1,"1","7-31",2,,2,0,0,1,"72",116,"1031",40,LLCLL,8,22,20,"31","18,31,32",3,18,"37 (00346: 2-7-22-25-31)",3,false,false,false,2026-05-11 13:11:22.649 +0700
T2,2026-01-05,"2","00382",1,2,6,10,17,1,0,8097115000,2,10000000,3,5000000,67,500000,133,100000,2332,30000,11458,10000,3,2,0,0,X,L,LL,3,"2,3","2-17",2,,1,0,0,1,,36,"3200",41,LCCCL,19,19,20,,"18,31,32",3,17,"25 (00357: 1-2-4-10-33)",3,false,false,false,2026-05-11 13:11:22.651 +0700
T2,2026-01-05,"1","00381",5,13,14,19,26,9,0,7846557500,0,10000000,9,5000000,51,500000,179,100000,1569,30000,12896,10000,1,3,1,0,Z,L,LC,2,"3","5-13-19",3,,1,0,2,1,,77,"1310",33,LLCLC,72,12,20,,"18,32",2,16,"31 (00350: 11-12-13-14-19)",3,false,false,true,2026-05-11 13:11:22.652 +0700
CN,2026-01-04,"2","00380",13,16,26,29,34,2,0,7789697500,0,10000000,4,5000000,81,500000,186,100000,2085,30000,12693,10000,0,2,2,1,X,C,LC,3,"0","13-29",2,,0,1,1,2,"62",118,"0221",7,LCCLC,53,13,20,,"18,32",2,15,"69 (00311: 3-16-21-29-34)",3,false,false,false,2026-05-11 13:11:22.653 +0700
CN,2026-01-04,"1","00379",12,14,22,25,29,1,0,7619200000,0,10000000,2,5000000,44,500000,78,100000,1396,30000,5919,10000,0,2,3,0,X,L,CL,3,"0,3","29",1,"22",0,0,0,2,"22",102,"0230",4,CCCLL,15,4,20,,"18,32",2,14,"101 (00278: 8-12-14-25-35)",3,false,false,false,2026-05-11 13:11:22.654 +0700
T7,2026-01-03,"2","00378",2,6,24,28,34,1,0,7472605000,1,10000000,3,5000000,66,500000,104,100000,1888,30000,9820,10000,2,0,2,1,X,L,CC,5,"1","2",1,,0,1,0,0,"42",94,"2021",4,CCCCC,18,11,20,,"18,32",2,13,"226 (00152: 2-6-7-24-28)",4,false,false,false,2026-05-11 13:11:22.655 +0700
T7,2026-01-03,"1","00377",7,11,12,22,30,5,0,7302845000,0,10000000,5,5000000,53,500000,155,100000,1436,30000,9892,10000,1,2,1,1,Y,L,LC,3,,"7-11",2,"11,22",1,0,0,1,"22",82,"1211",40,LLCCC,94,18,20,,"18,32",2,12,"70 (00307: 2-12-22-30-32)",3,false,false,false,2026-05-11 13:11:22.656 +0700
T6,2026-01-02,"2","00376",3,9,10,14,25,6,0,7238197500,0,10000000,9,5000000,62,500000,224,100000,2148,30000,15627,10000,2,2,1,0,Y,C,LL,2,"3","3",1,,1,0,0,1,,61,"2210",58,LLCCL,8,27,20,"9","9,18,32",3,11,"66 (00310: 9-10-11-18-25)",3,false,false,false,2026-05-11 13:11:22.658 +0700
T6,2026-01-02,"1","00375",13,17,22,23,29,8,0,7145630000,1,10000000,9,5000000,47,500000,137,100000,1348,30000,11386,10000,0,2,3,0,Y,C,LL,1,"0,3","13-17-23-29",4,"22",1,1,0,0,"32",104,"0230",98,LLCLL,21,28,20,"29","9,18,29",3,10,"165 (00210: 13-16-21-22-23)",3,false,false,false,2026-05-11 13:11:22.659 +0700
T6,2025-12-12,"1","00333",8,25,30,33,34,11,0,9191987500,1,10000000,1,5000000,66,500000,151,100000,1997,30000,10544,10000,1,0,1,3,Z,L,CC,3,"1",,0,"33",1,0,0,1,,130,"1013",4,CLCLC,67,11,20,,"6,19",2,28,"48 (00285: 3-17-30-33-34)",3,false,false,false,2026-05-11 13:11:22.726 +0700
T5,2025-12-11,"2","00332",3,10,16,23,29,11,0,9035090000,1,10000000,6,5000000,69,500000,218,100000,2336,30000,17357,10000,1,2,2,0,Z,L,LL,2,"3","3-23-29",3,,0,0,1,0,"32",81,"1220",10,LCCLL,32,7,20,,"6",1,27,"7 (00325: 2-3-16-23-31)",3,false,false,false,2026-05-11 13:11:22.727 +0700
T5,2025-12-11,"1","00331",7,8,10,12,32,2,0,8884142500,1,10000000,1,5000000,72,500000,120,100000,1906,30000,9711,10000,2,2,0,1,X,C,LC,4,"2","7",1,,1,1,0,0,"22",69,"2201",4,LCCCC,12,13,20,,"6",1,26,"4 (00327: 1-8-10-13-32)",3,false,false,false,2026-05-11 13:11:22.728 +0700
T4,2025-12-10,"2","00330",1,15,26,29,33,9,0,8769450000,1,10000000,3,5000000,72,500000,175,100000,2055,30000,16668,10000,1,1,2,1,Z,L,LL,1,,"29",1,"33",0,2,1,0,,104,"1121",19,LLCLL,12,33,20,"15","6,15",2,25,"33 (00297: 11-12-15-28-33)",2,false,false,false,2026-05-11 13:11:22.729 +0700
T4,2025-12-10,"1","00329",1,24,30,34,35,3,0,8595060000,0,10000000,7,5000000,35,500000,116,100000,1316,30000,9424,10000,1,0,1,3,X,L,LL,3,"1",,0,,1,2,1,2,"42",124,"1013",,LCCCL,15,14,20,,"6,15",2,24,"25 (00304: 1-10-16-30-34)",3,false,false,false,2026-05-11 13:11:22.730 +0700
T3,2025-12-09,"2","00328",2,10,23,33,35,4,0,8455010000,0,10000000,7,5000000,52,500000,172,100000,1927,30000,14397,10000,1,1,1,2,X,C,CL,2,,"2-23",2,"33",0,0,1,2,"32",103,"1112",12,CCLLL,57,16,20,,"6,15",2,23,"144 (00184: 10-31-33-34-35)",3,false,false,false,2026-05-11 13:11:22.731 +0700
T2,2025-11-17,"1","00283",3,13,14,18,34,2,0,8764728500,0,10000000,1,5000000,50,500000,112,100000,1612,30000,11165,10000,1,3,0,1,X,C,LC,3,"2","3-13",2,,1,0,1,0,"32,42",82,"1301",50,LLCCC,35,17,20,,"16",1,17,"22 (00261: 3-13-14-19-28)",3,false,false,false,2026-05-11 13:11:22.789 +0700
CN,2025-11-16,"2","00282",1,18,20,26,30,12,0,8212317500,1,10000000,5,5000000,50,500000,140,100000,1921,30000,11331,10000,1,1,2,1,Z,C,LC,4,,,0,,0,2,0,0,"02",95,"1121",3,LCCCC,18,22,20,"1","1,16",2,16,"184 (00098: 3-18-20-26-30)",4,false,false,false,2026-05-11 13:11:22.791 +0700
CN,2025-11-16,"1","00281",2,15,21,22,28,7,0,7527290000,0,10000000,3,5000000,37,500000,109,100000,1288,30000,11008,10000,1,1,3,0,Y,L,CC,3,"3","2",1,"22",1,1,2,2,"22",88,"1130",51,CLLCC,40,2,20,,"1,16",2,15,"2 (00279: 2-15-20-22-32)",3,false,false,false,2026-05-11 13:11:22.792 +0700
T5,2025-10-23,"1","00233",6,10,11,12,30,4,0,6079422500,2,10000000,2,5000000,54,500000,126,100000,1406,30000,8845,10000,1,3,0,1,X,C,CC,4,"2","11",1,"11",2,1,2,1,"02",69,"1301",194,CCLCC,15,13,20,,"5,27",2,1,"77 (00156: 6-10-11-12-27)",4,false,false,false,2026-05-11 13:11:22.847 +0700
T7,2025-08-16,"2","00098",3,18,20,26,30,2,0,6325257500,0,10000000,7,5000000,106,500000,232,100000,2615,30000,14901,10000,1,1,2,1,X,C,LC,4,,"3",1,,0,1,0,0,"02",97,"1121",9,LCCCC,33,6,20,,"14",1,25,"2 (00096: 3-9-20-26-33)",3,false,false,false,2026-05-11 13:11:22.981 +0700
CN,2025-09-28,"1","00183",4,7,10,15,30,7,0,8271743500,0,10000000,5,5000000,48,500000,165,100000,1668,30000,10499,10000,2,2,0,1,Y,L,CC,3,"2","7",1,,0,0,0,2,"02",66,"2201",95,CLCLC,74,28,20,"7","7,32",2,59,"53 (00130: 5-7-10-21-30)",3,false,false,false,2026-05-11 13:11:22.894 +0700
T7,2025-09-27,"2","00182",3,9,21,22,25,11,0,7806005500,0,10000000,5,5000000,76,500000,183,100000,2116,30000,15057,10000,2,0,3,0,Z,L,LL,1,"1,3","3",1,"22",1,1,1,1,,80,"2030",150,LLLCL,13,10,20,,"7,32",2,58,"135 (00047: 3-14-16-21-25)",3,false,false,false,2026-05-11 13:11:22.895 +0700
T7,2025-09-27,"1","00181",6,18,19,21,23,7,0,7342412500,0,10000000,4,5000000,40,500000,133,100000,1553,30000,10324,10000,1,2,2,0,Y,L,CL,2,"3","19-23",2,,1,0,1,0,,87,"1220",7,CCLLL,58,12,20,,"7,32",2,57,"60 (00121: 3-18-19-23-30)",3,false,false,false,2026-05-11 13:11:22.896 +0700
T6,2025-09-26,"2","00180",10,21,28,31,33,7,0,7238972500,1,10000000,7,5000000,62,500000,184,100000,1792,30000,17288,10000,0,1,2,2,Y,L,CL,2,"0","31",1,"33",0,1,1,0,"12",123,"0122",15,CLCLL,8,27,20,"33","7,32,33",3,56,"57 (00123: 8-10-21-27-31)",3,false,false,false,2026-05-11 13:11:22.898 +0700
T4,2025-09-03,"1","00133",1,6,9,17,26,4,0,7167017500,0,10000000,10,5000000,57,500000,139,100000,1576,30000,10812,10000,3,1,1,0,X,C,LC,2,"3","17",1,,0,0,1,1,"62",59,"3110",64,LCLLC,6,15,20,,"16,33",2,9,"49 (00084: 9-16-17-26-32)",3,false,false,false,2026-05-11 13:11:22.947 +0700
T3,2025-09-02,"2","00132",5,9,12,32,35,1,0,7079790000,1,10000000,3,5000000,64,500000,121,100000,2279,30000,10084,10000,2,1,0,2,X,L,LL,2,"2","5",1,,0,1,1,1,"22,52",93,"2102",31,LLCCL,7,23,20,"32","32,33",2,8,"55 (00077: 12-25-31-32-35)",3,false,false,false,2026-05-11 13:11:22.948 +0700
T3,2025-09-02,"1","00131",1,10,12,22,31,2,0,6875282500,0,10000000,2,5000000,36,500000,106,100000,1357,30000,11143,10000,1,2,1,1,X,C,LL,3,,"31",1,"22",0,0,1,2,"12,22",76,"1211",10,LCCCL,2,7,20,,"32,33",2,7,"3 (00128: 2-10-22-23-31)",3,false,false,false,2026-05-11 13:11:22.949 +0700
T2,2025-09-01,"2","00130",5,7,10,21,30,7,0,6742730000,1,10000000,7,5000000,85,500000,233,100000,2492,30000,16454,10000,2,1,1,1,Y,L,LC,2,,"5-7",2,,0,1,1,1,"02",73,"2111",3,LLCLC,15,25,20,"5","5,32,33",3,6,"89 (00041: 5-19-20-21-30)",3,false,false,false,2026-05-11 13:11:22.950 +0700
T2,2025-09-01,"1","00129",9,22,24,30,35,7,0,6567697500,0,10000000,3,5000000,71,500000,176,100000,1702,30000,12613,10000,1,0,2,2,Y,L,LL,3,"1",,0,"22",0,3,1,1,,120,"1022",32,LCCCL,26,10,20,,"5",1,5,"9 (00120: 2-9-10-24-30)",3,false,false,false,2026-05-11 13:11:22.952 +0700
CN,2025-08-31,"2","00128",2,10,22,23,31,12,0,6457232500,1,10000000,6,5000000,67,500000,168,100000,2032,30000,12349,10000,1,1,2,1,Z,C,CL,3,,"2-23-31",3,"22",1,0,0,3,"22",88,"1121",5,CCCLL,48,9,20,,"5",1,4,"5 (00123: 8-10-21-27-31)",2,false,false,true,2026-05-11 13:11:22.952 +0700
CN,2025-08-31,"1","00127",1,8,19,21,30,11,0,6299385000,1,10000000,5,5000000,29,500000,166,100000,1433,30000,10609,10000,2,1,1,1,Z,L,LC,2,,"19",1,,0,1,0,1,"12",79,"2111",7,LCLLC,6,6,20,,"5",1,3,"14 (00113: 8-9-21-23-30)",3,false,false,false,2026-05-11 13:11:22.953 +0700
T7,2025-08-30,"2","00126",4,6,14,15,20,9,0,6201855000,1,10000000,4,5000000,63,500000,179,100000,1917,30000,16035,10000,2,2,1,0,Z,L,CC,4,"3",,0,,1,1,1,0,"42",59,"2210",4,CCCLC,40,14,20,,"5",1,2,"15 (00111: 4-13-14-26-30)",2,false,false,false,2026-05-11 13:11:22.954 +0700
T7,2025-08-09,"1","00083",2,15,20,24,28,10,0,7513775000,0,10000000,6,5000000,70,500000,197,100000,2062,30000,15030,10000,1,1,3,0,Z,C,CC,4,"3","2",1,,0,1,2,1,,89,"1130",,CLCCC,52,22,20,"28","11,17,28",3,10,"38 (00045: 8-20-24-27-28)",3,false,false,false,2026-05-11 13:11:22.996 +0700
T6,2025-08-08,"2","00082",1,9,15,16,20,11,0,7365807500,1,10000000,7,5000000,96,500000,208,100000,2798,30000,17897,10000,2,2,1,0,Z,L,LC,2,"3",,0,,1,1,1,1,,61,"2210",27,LLLCC,71,14,20,,"11,17,28",3,9,"4 (00078: 7-10-15-16-29)",2,false,false,false,2026-05-11 13:11:22.997 +0700
T6,2025-08-08,"1","00081",2,15,22,30,33,6,0,7117630000,0,10000000,8,5000000,59,500000,221,100000,2144,30000,16854,10000,1,1,1,2,Y,C,CL,3,,"2",1,"22,33",0,1,0,0,"22",102,"1112",38,CLCCL,18,35,20,"2","2,11,17",3,8,"35 (00046: 2-16-18-22-30)",3,false,false,false,2026-05-11 13:11:22.998 +0700
T5,2025-08-07,"2","00080",6,12,18,23,25,11,0,6978530000,2,10000000,19,5000000,167,500000,331,100000,3871,30000,18885,10000,1,2,2,0,Z,L,CL,3,"3","23",1,,0,0,1,0,,84,"1220",10,CCCLL,,9,20,,"2,11,17",3,7,"78 (00002: 6-12-14-18-25)",4,false,false,false,2026-05-11 13:11:22.999 +0700
T5,2025-08-07,"1","00079",1,18,27,29,30,7,0,6907245000,0,10000000,5,5000000,72,500000,213,100000,1773,30000,17950,10000,1,1,2,1,Y,L,LC,2,,"29",1,,1,0,1,1,,105,"1121",5,LCLLC,7,15,20,,"2,11,17",3,6,"29 (00050: 17-18-27-29-33)",3,false,false,false,2026-05-11 13:11:23.000 +0700
T4,2025-08-06,"2","00078",7,10,15,16,29,9,0,6784097500,1,10000000,13,5000000,97,500000,376,100000,2858,30000,21873,10000,1,3,1,0,Z,L,LL,2,"3","7-29",2,,1,0,0,0,,77,"1310",40,LCLCL,26,11,20,,"2,11,17",3,5,"6 (00072: 7-14-15-29-34)",3,false,false,false,2026-05-11 13:11:23.002 +0700
T4,2025-08-06,"1","00077",12,25,31,32,35,4,0,6655630000,1,10000000,8,5000000,80,500000,183,100000,2133,30000,15239,10000,0,1,1,3,X,C,CL,2,"0","31",1,,1,2,1,0,"22,52",135,"0113",,CLLCL,55,25,20,"35","2,11,17,35",4,4,"43 (00034: 9-12-22-31-35)",3,false,false,false,2026-05-11 13:11:23.003 +0700
T3,2025-08-05,"2","00076",5,8,10,13,32,10,0,6540562500,0,10000000,11,5000000,99,500000,278,100000,2981,30000,17366,10000,2,2,0,1,Z,C,LC,3,"2","5-13",2,,0,0,1,0,,68,"2201",,LCCLC,44,7,20,,"2,17,35",3,3,"2 (00074: 5-13-23-25-33)",2,false,false,true,2026-05-11 13:11:23.003 +0700
T3,2025-08-05,"1","00075",8,20,24,30,34,1,0,6360402500,2,10000000,4,5000000,75,500000,125,100000,2073,30000,9811,10000,1,0,2,2,X,L,CC,5,"1",,0,,0,1,0,2,"02,42",116,"1022",2,CCCCC,17,10,20,,"2,17,35",3,2,"30 (00045: 8-20-24-27-28)",3,false,false,false,2026-05-11 13:11:23.004 +0700
T2,2025-08-04,"2","00074",5,13,23,25,33,11,0,6192165000,0,10000000,7,5000000,108,500000,294,100000,3162,30000,17914,10000,1,1,2,1,Z,L,LL,0,,"5-13-23",3,"33",0,0,2,1,"33,52",99,"1121",6,LLLLL,39,10,20,,"2,17,35",3,1,"1 (00073: 5-20-25-30-32)",2,false,false,false,2026-05-11 13:11:23.004 +0700
T2,2025-08-04,"1","00073",5,20,25,30,32,10,2,3171095000,0,10000000,9,5000000,78,500000,160,100000,2169,30000,12808,10000,1,0,2,2,Z,C,LC,3,"1","5",1,,0,0,0,1,"02,52",112,"1022",24,LCLCC,20,15,20,,"2,17,35",3,0,"32 (00041: 5-19-20-21-30)",3,true,false,false,2026-05-11 13:11:23.005 +0700
CN,2025-08-03,"2","00072",7,14,15,29,34,9,0,6214160000,1,10000000,18,5000000,89,500000,246,100000,2519,30000,18315,10000,1,2,1,1,Z,L,LC,2,,"7-29",2,,1,1,0,1,"42",99,"1211",26,LCLLC,59,12,20,,"2,17",2,2,"59 (00013: 5-14-15-23-34)",3,false,false,false,2026-05-11 13:11:23.006 +0700
CN,2025-08-03,"1","00071",1,6,8,23,25,12,0,6132207500,0,10000000,12,5000000,56,500000,169,100000,1860,30000,12607,10000,3,0,2,0,Z,C,LL,2,"1,3","23",1,,0,0,2,0,,63,"3020",45,LCCLL,5,20,20,,"2,17",2,1,"54 (00017: 1-8-14-19-23)",3,false,false,false,2026-05-11 13:11:23.006 +0700
T3,2025-07-15,"1","00033",3,7,12,19,26,6,0,9050240500,0,10000000,15,5000000,102,500000,276,100000,2638,30000,18024,10000,2,2,1,0,Y,C,LC,2,"3","3-7-19",3,,0,1,1,0,,67,"2210",2,LLCLC,18,6,20,,"4,21,33",3,17,"2 (00031: 2-3-12-14-22)",2,false,false,false,2026-05-11 13:11:23.041 +0700
T2,2025-07-14,"2","00032",7,8,22,23,28,5,0,8589070000,2,10000000,12,5000000,117,500000,396,100000,3603,30000,25652,10000,2,0,3,0,Y,L,LC,3,"1,3","7-23",2,"22",2,0,1,1,"82",88,"2030",,LCCLC,20,15,20,,"4,21,33",3,16,"10 (00022: 2-7-9-28-31)",2,false,false,false,2026-05-11 13:11:23.041 +0700
T2,2025-07-14,"1","00031",2,3,12,14,22,3,0,8428275000,1,10000000,3,5000000,65,500000,223,100000,2439,30000,15225,10000,2,2,1,0,X,L,CC,4,"3","2-3",2,"22",1,0,2,0,"23",53,"2210",14,CLCCC,13,16,20,,"4,21,33",3,15,"1 (00030: 12-14-19-27-34)",2,false,false,true,2026-05-11 13:11:23.042 +0700
CN,2025-07-13,"2","00030",12,14,19,27,34,8,0,8216972500,3,10000000,22,5000000,110,500000,386,100000,3034,30000,25985,10000,0,3,1,1,Y,C,CC,3,"0","19",1,,0,2,2,1,"42",106,"0311",11,CCLLC,,9,20,,"4,21",2,14,"1 (00029: 13-15-19-22-27)",2,false,false,false,2026-05-11 13:11:23.043 +0700
CN,2025-07-13,"1","00029",13,15,19,22,27,10,0,8194275000,0,10000000,9,5000000,85,500000,228,100000,2646,30000,14272,10000,0,3,2,0,Z,C,LL,1,"0,3","13-19",2,"22",0,2,0,0,,96,"0320",,LLLCL,,14,20,,"4,21",2,13,"15 (00014: 3-13-19-25-29)",2,false,false,true,2026-05-11 13:11:23.043 +0700
T7,2025-07-12,"2","00028",5,11,16,20,34,6,0,8069175000,0,10000000,10,5000000,85,500000,264,100000,2360,30000,17797,10000,1,2,1,1,Y,C,LC,3,,"5-11",2,"11",0,1,1,0,,86,"1211",13,LLCCC,2,25,20,"16","4,16,21",3,12,"22 (00006: 5-18-20-30-34)",3,false,false,false,2026-05-11 13:11:23.044 +0700
T7,2025-07-12,"1","00027",5,14,26,31,35,7,0,7962020000,0,10000000,7,5000000,51,500000,210,100000,1752,30000,16867,10000,1,1,1,2,Y,L,LL,2,,"5-31",2,,0,0,1,0,"52",111,"1112",21,LCCLL,6,8,20,,"4,16,21",3,11,"8 (00019: 14-15-17-28-31)",2,false,false,false,2026-05-11 13:11:23.045 +0700
T6,2025-07-11,"2","00026",1,5,8,20,24,8,0,7815150000,1,10000000,2,5000000,94,500000,253,100000,2733,30000,24517,10000,3,0,2,0,Y,C,LC,3,"1,3","5",1,,0,0,2,0,,58,"3020",,LLCCC,3,13,20,,"4,16,21",3,10,"1 (00025: 8-11-17-18-20)",2,false,false,false,2026-05-11 13:11:23.045 +0700
T6,2025-07-11,"1","00025",8,11,17,18,20,1,0,7625090000,1,10000000,7,5000000,94,500000,171,100000,2718,30000,9724,10000,1,3,1,0,X,L,CC,3,"3","11-17",2,"11",1,1,0,0,"82",74,"1310",23,CLLCC,,13,20,,"4,16,21",3,9,"2 (00023: 11-17-24-28-30)",2,false,false,true,2026-05-11 13:11:23.046 +0700
T5,2025-07-10,"2","00024",9,24,29,32,35,8,0,7449222500,0,10000000,6,5000000,76,500000,258,100000,2568,30000,21221,10000,1,0,2,2,Y,C,LL,2,"1","29",1,,0,1,1,1,"92",129,"1022",,LCLCL,,15,20,,"4,16,21",3,8,"16 (00008: 9-11-27-29-35)",3,false,false,false,2026-05-11 13:11:23.046 +0700
T7,2026-04-11,"2","00574",3,6,8,20,35,6,0,7542970000,0,10000000,11,5000000,82,500000,175,100000,1845,30000,13312,10000,3,0,1,1,Y,C,LL,3,"1","3",1,,0,1,0,2,,72,"3011",142,LCCCL,39,13,20,,"2,5",2,15,"54 (00520: 3-6-28-30-35)",3,false,false,false,2026-05-11 13:11:22.292 +0700
T7,2026-04-11,"1","00573",7,13,15,19,32,9,0,7423970000,0,10000000,8,5000000,53,500000,177,100000,1570,30000,14122,10000,1,3,0,1,Z,L,LC,1,"2","7-13-19",3,,0,0,3,0,,86,"1301",39,LLLLC,1,10,20,,"2,5",2,14,"41 (00532: 7-15-19-27-32)",4,false,false,false,2026-05-11 13:11:22.297 +0700
T6,2026-04-10,"2","00572",7,15,19,23,24,6,0,7384457500,1,10000000,9,5000000,83,500000,192,100000,2396,30000,13987,10000,1,2,2,0,Y,C,LC,1,"3","7-19-23",3,,1,1,0,0,,88,"1220",12,LLLLC,29,15,20,,"5",1,13,"202 (00370: 7-15-23-24-33)",4,false,false,false,2026-05-11 13:11:22.299 +0700
T6,2026-04-10,"1","00571",8,17,21,31,35,5,0,7305362500,0,10000000,1,5000000,48,500000,138,100000,1299,30000,9782,10000,1,1,1,2,Y,L,CL,1,,"17-31",2,,0,1,1,1,"12",112,"1112",18,CLLLL,53,13,20,,"5",1,12,"156 (00415: 8-17-20-27-31)",3,false,false,false,2026-05-11 13:11:22.301 +0700
T5,2026-04-09,"2","00570",8,10,11,22,30,2,0,7185322500,1,10000000,4,5000000,77,500000,151,100000,2107,30000,10792,10000,1,2,1,1,X,C,CC,4,,"11",1,"11,22",1,0,0,1,"02",81,"1211",19,CCLCC,3,15,20,,"5",1,11,"48 (00522: 2-8-10-22-23)",3,false,false,false,2026-05-11 13:11:22.305 +0700
T5,2026-04-09,"1","00569",1,7,18,33,34,1,0,7045377500,0,10000000,2,5000000,35,500000,80,100000,1293,30000,6558,10000,2,1,0,2,X,L,LC,2,"2","7",1,"33",1,1,0,0,,93,"2102",76,LLCLC,5,22,20,"7","5,7",2,10,"76 (00493: 1-7-15-34-35)",3,false,false,false,2026-05-11 13:11:22.307 +0700
